[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 33
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 36
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: va in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 93
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: txta in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 96
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/CssManager.php on line 1743
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: direction in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 233
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: cellLineHeight in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 249
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: cellLineStackingStrategy in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 254
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: cellLineStackingShift in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 259
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined index: borders_separate in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 331
[26-Feb-2026 12:15:35 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 403
[26-Feb-2026 18:27:34 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:34 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:34 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:34 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:34 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:34 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:42 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:42 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:42 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:42 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:42 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:42 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:27:48 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:28:19 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:28:19 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:28:19 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:28:19 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:28:19 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:28:19 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:20 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:20 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:20 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
